Name,Test RMSE
E07000077,7.9659184
E07000063,8.413479596
E07000088,7.193906226
E07000103,7.441222064
E07000117,8.74444536
E08000023,7.569689573
E08000037,7.265292924
E06000014,7.916013989
E06000001,7.349326237
E06000015,8.10764357
E08000036,6.89346838
E08000022,7.231742148
E07000116,8.89807079
E07000102,7.785125778
E07000089,7.285903967
E07000062,8.624661776
E07000076,8.694155831
E07000074,9.539274427
E07000114,8.169484862
E07000128,8.590093463
E08000034,7.901662881
E08000008,7.291621627
E06000003,8.373581104
E06000017,8.300089348
E06000016,8.165514676
E06000002,7.242224018
E08000009,7.751775165
E08000021,7.500683852
E08000035,7.693677488
E07000129,7.879165604
E07000115,7.558861811
E07000075,8.296591098
E07000061,7.959299144
E07000065,9.160045914
E07000071,7.865684153
E07000139,8.03637329
E07000111,8.621303354
E07000105,7.616957636
E08000019,7.681598396
E08000031,7.960826421
E08000025,7.714330325
E06000006,6.933554293
E06000012,7.990072859
E06000013,8.415610908
E06000007,7.223140419
E08000024,7.549871941
E08000030,7.393489048
E08000018,7.478291883
E07000110,7.688078846
E07000138,7.446729918
E07000070,7.695353486
E07000064,8.783977862
E07000072,8.347379378
E07000066,7.402135783
E07000099,7.671533298
E07000106,7.758999543
E07000112,8.5196327
E08000026,7.478625322
E08000032,7.797150608
E06000011,8.358854925
E06000005,8.427846712
E06000039,7.248194477
E06000038,7.865233544
E06000004,7.120594386
E06000010,7.175551831
E08000033,8.148002636
E08000027,7.418116015
E07000113,7.557574922
E07000107,6.577071289
E07000098,7.632074193
E07000067,8.149607548
E07000073,6.462982945
E07000216,8.397597966
E07000202,7.830512965
W06000022,7.361025713
E09000023,7.680582299
E07000028,8.053550749
E07000174,8.310887443
E07000148,7.250062783
E07000149,8.561346822
E07000175,8.633220701
E07000029,8.691457485
E09000022,7.692851953
W06000023,10.64257058
E07000203,9.278687572
E07000217,7.714737357
W06000009,10.27030783
E07000215,8.162350344
E07000229,8.337584681
W06000021,9.155691141
E09000008,8.223638826
E09000020,8.65803717
E07000177,7.68075489
E07000163,8.991944114
E07000188,8.438625134
E06000049,8.171341345
E07000189,8.40251065
E07000176,8.214422977
E09000021,8.359699659
E09000009,7.711606126
W06000020,7.424160914
E07000228,7.399384481
E07000214,7.580766374
E07000200,8.999902305
W06000008,11.69639988
E07000238,8.176372258
W06000024,8.024315386
W06000018,7.759245985
E07000210,8.797219582
E09000031,7.602972911
E09000025,6.774936929
E09000019,7.148567753
E07000006,7.967470071
E07000012,8.852786981
E07000172,8.561153999
E07000166,9.54714705
E07000199,7.57246311
E06000059,8.429988082
E06000058,7.694201392
E07000198,9.059030617
E07000167,10.54857359
E07000173,8.294383309
E07000007,7.974270563
E09000018,7.305953561
E09000024,7.918322372
E09000030,6.077498042
E07000211,7.522522015
W06000019,8.589660157
E07000239,8.396155782
E07000213,8.248778745
E07000207,8.229877794
E09000026,7.826774584
E09000032,7.489998649
E07000039,7.433578835
E07000011,7.849134272
E07000005,8.981872574
E07000165,8.593361147
E07000171,8.566594333
E07000170,8.131377027
E07000164,9.1768817
E07000004,7.742615774
E07000010,8.020531384
E07000038,7.984404241
E09000033,8.48243909
E09000027,8.599697242
E07000212,7.981940276
E07000237,8.14910228
E07000223,8.011504332
W06000003,9.318176665
E09000002,6.761979565
E09000016,8.013851467
E07000035,9.792061677
E07000009,8.422001847
E07000141,8.182061946
E07000155,7.754995634
E07000169,8.326436937
E07000196,8.194806567
E06000056,7.196295138
E06000042,6.325330783
E06000043,8.178637584
E06000057,9.206465008
E07000197,8.353179784
E07000168,9.041376545
E07000154,7.27472986
E07000140,8.532398285
E07000008,7.62523005
E07000034,7.542993896
E09000017,7.975253326
E09000003,7.747619008
W06000016,8.768256739
W06000002,11.00463759
E07000222,7.959926866
E07000236,7.328644096
E07000220,7.347493687
E07000234,7.809304724
W06000014,8.060726368
E07000208,8.601330025
E09000029,8.010270673
E09000015,7.82439721
E09000001,10.00479191
E07000036,8.666589741
E07000156,7.624142276
E07000142,8.414431904
E07000195,8.124488164
E07000181,8.481711371
E06000041,7.038077351
E06000055,7.323318703
E06000054,8.1342844
E06000040,8.573069334
E07000180,7.44662501
E07000194,7.905705525
E07000143,8.603317636
E07000037,8.327705374
E09000014,7.6906458
E09000028,6.866082257
W06000001,10.96998293
E07000209,8.304504167
W06000015,7.586538186
E07000235,9.463343809
E07000221,8.028523338
E07000219,7.335663437
W06000011,8.489737027
W06000005,8.888026241
E07000225,8.939979255
E09000010,8.028931706
E09000004,7.436295751
E07000027,7.806757082
E07000033,8.754014809
E07000153,7.288192559
E07000147,9.638576699
E06000044,7.710967207
E06000050,7.57947343
E06000051,9.017657825
E06000045,7.73324715
E07000146,9.313275928
E07000152,7.539086712
E07000032,8.556373221
E07000026,8.914282185
E09000005,7.365414055
E09000011,6.623482265
E07000224,7.742218043
W06000004,9.497989992
W06000010,10.47560645
E07000218,8.095301767
W06000006,8.377914505
W06000012,8.229994848
E07000226,6.468426873
E09000007,7.816802335
E09000013,7.33193645
E07000030,10.51231522
E07000178,7.641301992
E07000144,8.08149127
E07000150,6.341123238
E07000187,8.505730731
E07000193,8.132317976
E06000053,18.56006615
E06000047,7.604183371
E06000046,8.548681218
E06000052,10.1734144
E07000192,7.655123692
E07000151,7.957203626
E07000145,8.689019915
E07000179,8.036908355
E07000031,9.640878257
E09000012,7.200997638
E09000006,8.104969388
E07000227,7.933241417
W06000013,8.593328926
E07000240,7.836573835
E07000042,10.19043174
E07000095,7.877987689
E07000081,7.536049983
E07000122,9.029508823
E07000136,8.627761152
E08000002,8.303556245
E08000016,7.54049497
E06000009,9.324797795
E06000035,7.281312579
E06000021,7.605040274
E06000020,6.441027745
E06000034,7.022239074
E06000008,8.260803063
E08000017,7.977055574
E08000003,7.502981494
E07000137,9.695629618
E07000123,7.62683699
E07000080,9.507174017
E07000094,7.926097447
E07000043,9.629630079
E07000241,6.846624547
E07000243,7.582159116
E07000041,7.591322932
E07000069,8.852174045
E07000082,8.643991309
E07000096,7.360234436
E07000135,8.783619259
E07000121,8.382389159
E07000109,8.313458589
E08000015,7.928287136
E08000001,8.414174271
E08000029,7.608252295
E06000022,8.817303566
E06000036,6.623091168
E06000037,8.250756844
E06000023,8.180373331
E08000028,7.46508641
E08000014,8.079446777
E07000108,8.455162507
E07000120,8.846753403
E07000134,7.778656127
E07000083,7.581689497
E07000068,8.474630764
E07000040,8.840154022
E07000242,8.088458907
E07000246,8.471773607
E07000078,8.237080869
E07000044,10.72650771
E07000087,7.530611797
E07000093,8.07647195
E07000118,7.523360508
E07000130,7.81686515
E07000124,8.607459937
E08000010,7.749046048
E08000004,7.774388987
E06000027,8.558064564
E06000033,8.797837668
E06000032,8.00804736
E06000026,7.577959451
E08000005,8.028076388
E08000011,7.147414205
E07000125,8.612877569
E07000131,7.965424591
E07000119,8.561461496
E07000092,7.35633204
E07000086,6.649817941
E07000045,9.091932744
E07000079,8.99273434
E07000245,8.300729387
E07000047,10.66567605
E07000090,7.840564031
E07000084,6.64039351
E07000127,8.272356694
E07000133,8.881287432
E08000007,8.104703064
E08000013,7.188498895
E06000030,6.830617017
E06000024,8.492949424
E06000018,8.003604495
E06000019,9.280307637
E06000025,7.514485006
E06000031,7.157400927
E08000012,7.907018023
E08000006,6.818629961
E07000132,8.136450613
E07000126,7.836723138
E07000085,7.983164592
E07000091,8.439965691
E07000046,10.9156513
E07000244,8.662528761
,
Average,8.157148029